DateTime,State,Fuel Type,Supply
21/09/2024 00:00,TAS,Wind,43141.454
21/09/2024 00:00,VIC,Battery,4767.007
21/09/2024 00:00,VIC,Brown coal,584122.543
21/09/2024 00:00,VIC,Gas,7676.29
21/09/2024 00:00,VIC,Hydro,55796.737
21/09/2024 00:00,VIC,Solar,29265.995
21/09/2024 00:00,VIC,Wind,196798.783
28/09/2024 00:00,NSW,Battery,2091.334
28/09/2024 00:00,NSW,Biomass,3618.955
28/09/2024 00:00,NSW,Black coal,703299.286
28/09/2024 00:00,NSW,Gas,5260.198
28/09/2024 00:00,NSW,Hydro,46431.627
28/09/2024 00:00,NSW,Liquid Fuel,1.683
28/09/2024 00:00,NSW,Solar,141867.29
28/09/2024 00:00,NSW,Wind,130785.832
28/09/2024 00:00,QLD,Battery,3098.105
28/09/2024 00:00,QLD,Biomass,8583.316
28/09/2024 00:00,QLD,Black coal,684908.747
28/09/2024 00:00,QLD,Gas,55716.941
28/09/2024 00:00,QLD,Hydro,32470.147
28/09/2024 00:00,QLD,Liquid Fuel,91.834
28/09/2024 00:00,QLD,Solar,132931.729
28/09/2024 00:00,QLD,Wind,64567.007
28/09/2024 00:00,SA,Battery,3286.117
28/09/2024 00:00,SA,Gas,31013.033
28/09/2024 00:00,SA,Liquid Fuel,99.425
28/09/2024 00:00,SA,Solar,17188.353
28/09/2024 00:00,SA,Wind,146903.958
28/09/2024 00:00,TAS,Gas,545.823
28/09/2024 00:00,TAS,Hydro,150176.171
28/09/2024 00:00,TAS,Wind,49355.437
28/09/2024 00:00,VIC,Battery,5290.819
28/09/2024 00:00,VIC,Brown coal,489917.957
28/09/2024 00:00,VIC,Gas,2129.992
28/09/2024 00:00,VIC,Hydro,44393.81
28/09/2024 00:00,VIC,Solar,35545.469
28/09/2024 00:00,VIC,Wind,273347.563
05/10/2024 00:00,NSW,Battery,2690.943
05/10/2024 00:00,NSW,Biomass,3578.446
05/10/2024 00:00,NSW,Black coal,685352.622
05/10/2024 00:00,NSW,Gas,3950.977
05/10/2024 00:00,NSW,Hydro,44691.55
05/10/2024 00:00,NSW,Liquid Fuel,2.85
05/10/2024 00:00,NSW,Solar,153527.536
05/10/2024 00:00,NSW,Wind,171501.176
05/10/2024 00:00,QLD,Battery,2542.639
05/10/2024 00:00,QLD,Biomass,9245.107
05/10/2024 00:00,QLD,Black coal,708531.511
05/10/2024 00:00,QLD,Gas,69859.77
05/10/2024 00:00,QLD,Hydro,31405.848
05/10/2024 00:00,QLD,Liquid Fuel,133.582
05/10/2024 00:00,QLD,Solar,116614.345
05/10/2024 00:00,QLD,Wind,51508.367
05/10/2024 00:00,SA,Battery,2346.421
05/10/2024 00:00,SA,Gas,24085.504
05/10/2024 00:00,SA,Liquid Fuel,321.29
05/10/2024 00:00,SA,Solar,12304.259
05/10/2024 00:00,SA,Wind,129874.554
05/10/2024 00:00,TAS,Gas,373.315
05/10/2024 00:00,TAS,Hydro,157370.346
05/10/2024 00:00,TAS,Wind,48749.917
05/10/2024 00:00,VIC,Battery,5871.76
05/10/2024 00:00,VIC,Brown coal,478503.203
05/10/2024 00:00,VIC,Gas,2004.991
05/10/2024 00:00,VIC,Hydro,50497.242
05/10/2024 00:00,VIC,Solar,43531.226
05/10/2024 00:00,VIC,Wind,255556.398
12/10/2024 00:00,NSW,Battery,2001.051
12/10/2024 00:00,NSW,Biomass,3808.455
12/10/2024 00:00,NSW,Black coal,766293.799
12/10/2024 00:00,NSW,Gas,7489.932
12/10/2024 00:00,NSW,Hydro,59996.535
12/10/2024 00:00,NSW,Liquid Fuel,2.875
12/10/2024 00:00,NSW,Solar,109276.413
12/10/2024 00:00,NSW,Wind,117363.742
12/10/2024 00:00,QLD,Battery,2579.048
12/10/2024 00:00,QLD,Biomass,5937.669
12/10/2024 00:00,QLD,Black coal,740797.751
12/10/2024 00:00,QLD,Gas,62369.694
12/10/2024 00:00,QLD,Hydro,31504.826
12/10/2024 00:00,QLD,Liquid Fuel,0
12/10/2024 00:00,QLD,Solar,113182.863
12/10/2024 00:00,QLD,Wind,74666.534
12/10/2024 00:00,SA,Battery,2864.089
12/10/2024 00:00,SA,Gas,23854.242
12/10/2024 00:00,SA,Liquid Fuel,359.068
12/10/2024 00:00,SA,Solar,14015.924
12/10/2024 00:00,SA,Wind,135823.816
12/10/2024 00:00,TAS,Gas,516.843
12/10/2024 00:00,TAS,Hydro,148584.509
12/10/2024 00:00,TAS,Wind,39929.866
12/10/2024 00:00,VIC,Battery,4961.837
12/10/2024 00:00,VIC,Brown coal,445673.774
12/10/2024 00:00,VIC,Gas,2531.075
12/10/2024 00:00,VIC,Hydro,48143.906
12/10/2024 00:00,VIC,Solar,32737.645
12/10/2024 00:00,VIC,Wind,283106.883
19/10/2024 00:00,NSW,Battery,1639.743
19/10/2024 00:00,NSW,Biomass,4373.6
19/10/2024 00:00,NSW,Black coal,678916.421
19/10/2024 00:00,NSW,Gas,10688.358
19/10/2024 00:00,NSW,Hydro,72651.006
19/10/2024 00:00,NSW,Liquid Fuel,5.058
19/10/2024 00:00,NSW,Solar,168920.055
19/10/2024 00:00,NSW,Wind,75842.053
19/10/2024 00:00,QLD,Battery,5325.387
19/10/2024 00:00,QLD,Biomass,9403.464
19/10/2024 00:00,QLD,Black coal,735005.121
19/10/2024 00:00,QLD,Gas,67942.858
19/10/2024 00:00,QLD,Hydro,31487.732
19/10/2024 00:00,QLD,Liquid Fuel,672.399
19/10/2024 00:00,QLD,Solar,148080.214
19/10/2024 00:00,QLD,Wind,43694.853
19/10/2024 00:00,SA,Battery,2945.076
19/10/2024 00:00,SA,Gas,37686.683
19/10/2024 00:00,SA,Liquid Fuel,811.268
19/10/2024 00:00,SA,Solar,14575.217
