DateTime,Max/Min,State,Fuel Type,Supply
2/1/2018 4:00,Min,NEM,Battery,0
2/1/2018 4:00,Min,NEM,Biomass,10.233
2/1/2018 4:00,Min,NEM,Black coal,10655.808
2/1/2018 4:00,Min,NEM,Brown coal,4655.597
2/1/2018 4:00,Min,NEM,Distributed PV,0
2/1/2018 4:00,Min,NEM,Gas,1517.622
2/1/2018 4:00,Min,NEM,Hydro,355.826
2/1/2018 4:00,Min,NEM,Liquid Fuel,0.098
2/1/2018 4:00,Min,NEM,Utility-scale Solar,2.204
2/1/2018 4:00,Min,NEM,Wind,566.57
6/1/2018 12:00,Max,NEM,Battery,0.566
6/1/2018 12:00,Max,NEM,Biomass,14.516
6/1/2018 12:00,Max,NEM,Black coal,14111.605
6/1/2018 12:00,Max,NEM,Brown coal,4540.312
6/1/2018 12:00,Max,NEM,Distributed PV,3876.574
6/1/2018 12:00,Max,NEM,Gas,1907.942
6/1/2018 12:00,Max,NEM,Hydro,1888.634
6/1/2018 12:00,Max,NEM,Liquid Fuel,0.021
6/1/2018 12:00,Max,NEM,Utility-scale Solar,267.204
6/1/2018 12:00,Max,NEM,Wind,2864.484
13/2/2018 3:30,Min,NEM,Battery,1.333
13/2/2018,Min,NEM,Biomass,24.566
13/2/2018 3:30,Min,NEM,Black coal,12074.488
13/2/2018 3:30,Min,NEM,Brown coal,4720.514
13/2/2018 3:30,Min,NEM,Distributed PV,0
13/2/2018 3:30,Min,NEM,Gas,1724.87
13/2/2018 3:30,Min,NEM,Hydro,554.192
13/2/2018 3:30,Min,NEM,Liquid Fuel,0.037
13/2/2018 3:30,Min,NEM,Utility-scale Solar,1.597
13/2/2018 3:30,Min,NEM,Wind,437.997
28/2/2018,Max,NEM,Battery,0
28/2/2018,Max,NEM,Biomass,0
28/2/2018,Max,NEM,Black coal,12779.094
28/2/2018,Max,NEM,Brown coal,4685.62
28/2/2018,Max,NEM,Distributed PV,3359.465
28/2/2018,Max,NEM,Gas,1673.393
28/2/2018,Max,NEM,Hydro,1438.767
28/2/2018,Max,NEM,Liquid Fuel,0
28/2/2018,Max,NEM,Utility-scale Solar,279.652
28/2/2018,Max,NEM,Wind,3237.624
3/3/2018 2:30,Min,NEM,Battery,5.733
3/3/2018 2:30,Min,NEM,Biomass,0
3/3/2018 2:30,Min,NEM,Black coal,11535.505
3/3/2018 2:30,Min,NEM,Brown coal,4377.721
