C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2024/06/10,04:05:03,0000000422506171,,0000000422506165
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2024/06/09 04:05:00",1,NSW1,0,64.56018,0,64.56018,0,0,6435.77,-3,6637.22,115,86.45,0,,,58,,,,,,,,136,,,,,,,,114.54,,,,,,,,94,,,,,,,,103.64,,,,,,,,162.54,,,,,,-10.47575,11394.92336,187,6531.6377,6552.75,,73,,,,68,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.79,0.79,0,0.38,0.38,0,11,11,0,0.5,0.5,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/09 04:05:00",1,QLD1,0,62.27426,0,62.27426,0,0,5483.99,5,5692.47,6,202.47,0,,,44,,,,,,,,47,,,,,,,,51,,,,,,,,68,,,,,,,,150,,,,,,,,190,,,,,,5.61571,9744.46526,124,5483.86768,5491.21,,0,,,,44,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.79,0.79,0,0.38,0.38,0,11,11,0,0.5,0.5,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/09 04:05:00",1,SA1,0,157.85458,0,157.85458,0,0,1314.28,-2,829.58,25,-509.7,0,,,88.76,,,,,,,,80.75,,,,,,,,96,,,,,,,,97,,,,,,,,117,,,,,,,,165.63,,,,,,-8.36134,2896.58058,376,1535.87976,1352.1,,20,,,,45,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.79,0.79,0,0.38,0.38,0,11,11,0,0.5,0.5,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/09 04:05:00",1,TAS1,0,143.10827,0,143.10827,0,0,1080.18,0,783.35,0,-296.83,0,,,60.07,,,,,,,,145.54,,,,,,,,59.85,,,,,,,,95.71,,,,,,,,156,,,,,,,,27,,,,,,-0.03219,2463.04793,0,1080.21045,1080.18,,50,,,,50,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.79,0.79,0,0.38,0.38,0,6.18,6.18,0,0.5,0.5,0,0.38,0.38,0,0.39,0.39,0,2.76,2.76,0
D,DREGION,,2,"2024/06/09 04:05:00",1,VIC1,0,136.78,0,136.78,0,0,4069.25,-4,4819.78,185.27,565.27,0,,,24,,,,,,,,14,,,,,,,,14,,,,,,,,160,,,,,,,,146.54,,,,,,,,128,,,,,,-1.095,8450.78363,399,4129.89307,4286.16,,67,,,,13,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.79,0.79,0,0.38,0.38,0,11,11,0,0.5,0.5,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/09 04:10:00",1,NSW1,0,76.72011,0,76.72011,0,0,6587.07,5,6773.9,80,106.83,0,,,84,,,,,,,,162,,,,,,,,140,,,,,,,,124,,,,,,,,80.13,,,,,,,,153,,,,,,0,11406.06225,187,6689.14404,6667.5,,48,,,,23.75,,,,,,,,,,,,,,,,,,,2.96,2.96,0,0.39,0.39,0,0.38,0.38,0,5,5,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,0.94,0.94,0
D,DREGION,,2,"2024/06/09 04:10:00",1,QLD1,0,74.14572,0,74.14572,0,0,5505.14,8,5693,9,178.85,0,,,44,,,,,,,,47,,,,,,,,47,,,,,,,,69,,,,,,,,162.88,,,,,,,,191,,,,,,3.82255,9744.99958,124,5501.3418,5514.93,,0,,,,24,,,,,,,,,,,,,,,,,,,2.96,2.96,0,0.39,0.39,0,0.38,0.38,0,5,5,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,0.94,0.94,0
D,DREGION,,2,"2024/06/09 04:10:00",1,SA1,0,138.04356,0,138.04356,0,0,1358.71,2,815.63,33,-576.08,0,,,46.21,,,,,,,,52.54,,,,,,,,55.5,,,,,,,,97,,,,,,,,178,,,,,,,,177,,,,,,1.83577,2902.6288,376,1394.60449,1408.03,,11,,,,45,,,,,,,,,,,,,,,,,,,2.96,2.96,0,0.39,0.39,0,0.38,0.38,0,5,5,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,0.94,0.94,0
D,DREGION,,2,"2024/06/09 04:10:00",1,TAS1,0,123.02988,0,123.02988,0,0,1081.02,0,777.76,0,-303.27,0,,,60.07,,,,,,,,130.19,,,,,,,,59.85,,,,,,,,66.57,,,,,,,,156,,,,,,,,27,,,,,,-2.64114,2455.65716,0,1083.66333,1081.02,,50,,,,50,,,,,,,,,,,,,,,,,,,2.96,2.96,0,0.39,0.39,0,0.38,0.38,0,6.18,6.18,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,2.76,2.76,0
D,DREGION,,2,"2024/06/09 04:10:00",1,VIC1,0,117.3,0,117.3,0,0,4124.33,-4,4809.63,35.74,649.57,0,,,43,,,,,,,,33,,,,,,,,33,,,,,,,,160,,,,,,,,97,,,,,,,,126,,,,,,0,8439.63455,399,4317.90137,4198.44,,101,,,,77.25,,,,,,,,,,,,,,,,,,,2.96,2.96,0,0.39,0.39,0,0.38,0.38,0,5,5,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,0.94,0.94,0
