C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2024/06/14,04:05:03,0000000422970340,,0000000422970334
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2024/06/13 04:05:00",1,NSW1,0,92.97265,0,92.97265,0,0,7422.06,3,7318.48,351,-454.57,0,,,43,,,,,,,,111.04,,,,,,,,90,,,,,,,,100,,,,,,,,70.47,,,,,,,,79.14,,,,,,12.54833,11208.4032,361,7733.73193,7783.12,,14,,,,31.3,,,,,,,,,,,,,,,,,,,1.43,1.43,0,0.79,0.79,0,0.38,0.38,0,10.98,10.98,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,1,1,0
D,DREGION,,2,"2024/06/13 04:05:00",1,QLD1,0,85.75001,0,85.75001,0,0,5582.99,10,6154.82,42,529.84,0,,,44,,,,,,,,124,,,,,,,,105,,,,,,,,67,,,,,,,,127,,,,,,,,127,,,,,,4.2272,9747.1881,124,5603.49658,5631.68,,0,,,,38,,,,,,,,,,,,,,,,,,,1.43,1.43,0,0.79,0.79,0,0.38,0.38,0,10.98,10.98,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,1,1,0
D,DREGION,,2,"2024/06/13 04:05:00",1,SA1,0,175.05,0,175.05,0,0,1309.92,-2,769.12,62.82,-603.62,0,,,66,,,,,,,,123,,,,,,,,76.19,,,,,,,,91,,,,,,,,127,,,,,,,,159,,,,,,-10.79144,2492.11931,374,1392.23999,1390.72,,87,,,,50,,,,,,,,,,,,,,,,,,,1.43,1.43,0,0.79,0.79,0,0.38,0.38,0,10.98,10.98,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,1,1,0
D,DREGION,,2,"2024/06/13 04:05:00",1,TAS1,0,150.28036,0,150.28036,0,0,1214.95,2,1267.02,0,52.08,0,,,0,,,,,,,,1.99,,,,,,,,1.99,,,,,,,,44.1,,,,,,,,144.09,,,,,,,,144.09,,,,,,6.43222,1927.04671,0,1206.79492,1215.02,,50,,,,50,,,,,,,,,,,,,,,,,,,7.51345,7.51345,0,1.29,1.29,0,0.38,0.38,0,4.56036,4.56036,0,0.38,0.38,0,0.38,0.38,0,0,0,0,2.47,2.47,0
D,DREGION,,2,"2024/06/13 04:05:00",1,VIC1,0,147.37046,0,147.37046,0,0,4625.18,-1,5212.11,38,548.94,0,,,118.84,,,,,,,,54,,,,,,,,44,,,,,,,,147.94,,,,,,,,133.67,,,,,,,,93,,,,,,2.4073,8452.11469,413,4695.43506,4701.01,,107,,,,50.7,,,,,,,,,,,,,,,,,,,1.43,1.43,0,0.79,0.79,0,0.38,0.38,0,10.98,10.98,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,1,1,0
D,DREGION,,2,"2024/06/13 04:10:00",1,NSW1,0,109.12423,0,109.12423,0,0,7528.84,15,7410.25,342,-460.59,0,,,56.04,,,,,,,,110,,,,,,,,99,,,,,,,,130,,,,,,,,137.45,,,,,,,,112.45,,,,,,9.73905,11214.74594,362,7862.32666,7880.12,,35,,,,40,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.72,0.72,0,0.38,0.38,0,9.88,9.88,0,0.38,0.38,0,0.39,0.39,0,0.45,0.45,0,1.5,1.5,0
D,DREGION,,2,"2024/06/13 04:10:00",1,QLD1,0,100.86,0,100.86,0,0,5617.48,15,6189.81,49,523.34,0,,,44,,,,,,,,124,,,,,,,,105,,,,,,,,67,,,,,,,,127,,,,,,,,130.62,,,,,,2.36207,9744.67603,124,5647.56152,5672.61,,0,,,,38,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.72,0.72,0,0.38,0.38,0,9.88,9.88,0,0.38,0.38,0,0.39,0.39,0,0.45,0.45,0,1.5,1.5,0
D,DREGION,,2,"2024/06/13 04:10:00",1,SA1,0,175.56358,0,175.56358,0,0,1340.65,-1,781.1,52,-611.55,0,,,136,,,,,,,,106.8,,,,,,,,59,,,,,,,,94,,,,,,,,143,,,,,,,,166,,,,,,-13.91636,2503.10023,374,1410.52539,1411.11,,69.26,,,,48,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.72,0.72,0,0.38,0.38,0,9.88,9.88,0,0.38,0.38,0,0.39,0.39,0,0.45,0.45,0,1.5,1.5,0
D,DREGION,,2,"2024/06/13 04:10:00",1,TAS1,0,150.26,0,150.26,0,0,1208.2,2,1305.53,0,97.33,0,,,0,,,,,,,,46.73,,,,,,,,36.67,,,,,,,,9.15,,,,,,,,99.58,,,,,,,,99.58,,,,,,8.74513,1929.9947,0,1197.7384,1208.79,,50,,,,50,,,,,,,,,,,,,,,,,,,7.32,7.32,0,1.29,1.29,0,0.38,0.38,0,4.54,4.54,0,0.38,0.38,0,0.38,0.38,0,0,0,0,2.47,2.47,0
D,DREGION,,2,"2024/06/13 04:10:00",1,VIC1,0,147.80749,0,147.80749,0,0,4642.38,2,5207.4,39,526.02,0,,,33,,,,,,,,23,,,,,,,,13,,,,,,,,150,,,,,,,,94.62,,,,,,,,93,,,,,,2.49279,8447.39673,413,4694.7915,4721.45,,59,,,,44,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.72,0.72,0,0.38,0.38,0,9.88,9.88,0,0.38,0.38,0,0.39,0.39,0,0.45,0.45,0,1.5,1.5,0
