C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2024/06/15,04:05:07,0000000423086232,,0000000423086226
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2024/06/14 04:05:00",1,NSW1,0,160.3166,0,160.3166,0,0,7240.4,0,6977.69,51,-313.7,0,,,80,,,,,,,,100,,,,,,,,64.79,,,,,,,,105,,,,,,,,135.6,,,,,,,,158.6,,,,,,-0.5583,11015.77912,107,7303.27344,7296.78,,58,,,,43.46,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.86,0.86,0,0.39,0.39,0,1.5,1.5,0,0.14,0.14,0,0.38,0.38,0,0.38,0.38,0,1.54,1.54,0
D,DREGION,,2,"2024/06/14 04:05:00",1,QLD1,0,150.61,0,150.61,0,0,5810.36,18,6224.27,0,413.91,0,,,39,,,,,,,,111,,,,,,,,83,,,,,,,,45,,,,,,,,125.56,,,,,,,,131,,,,,,-13.43495,9238.82202,124,5807.31885,5814.18,,0,,,,0,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.86,0.86,0,0.39,0.39,0,1.5,1.5,0,0.14,0.14,0,0.38,0.38,0,0.38,0.38,0,1.54,1.54,0
D,DREGION,,2,"2024/06/14 04:05:00",1,SA1,0,142.57697,0,142.57697,0,0,1368.63,-1,2002.69,286,348.06,0,,,61,,,,,,,,81,,,,,,,,74,,,,,,,,102,,,,,,,,189,,,,,,,,169,,,,,,-10.91224,4060.69082,370,1463.59509,1660.03,,53,,,,48,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.86,0.86,0,0.39,0.39,0,1.5,1.5,0,0.14,0.14,0,0.38,0.38,0,0.38,0.38,0,1.54,1.54,0
D,DREGION,,2,"2024/06/14 04:05:00",1,TAS1,0,157.25569,0,157.25569,0,0,1147.8,1,1051.26,0,-96.54,0,,,47.2,,,,,,,,77.3,,,,,,,,70.52,,,,,,,,0,,,,,,,,6,,,,,,,,7,,,,,,1.68262,1970.95658,0,1145.11316,1147.8,,50,,,,50,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.86,0.86,0,0,0,0,11.66569,11.66569,0,0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,2.53,2.53,0
D,DREGION,,2,"2024/06/14 04:05:00",1,VIC1,0,157.99,0,157.99,0,0,4688.78,2,4603.65,242,-327.12,0,,,44,,,,,,,,44,,,,,,,,24,,,,,,,,198.07,,,,,,,,146,,,,,,,,136.56,,,,,,2.93024,8594.09427,414,4873.4126,4940.78,,49,,,,82,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.86,0.86,0,0.39,0.39,0,1.5,1.5,0,0.14,0.14,0,0.38,0.38,0,0.38,0.38,0,1.54,1.54,0
D,DREGION,,2,"2024/06/14 04:10:00",1,NSW1,0,160.22492,0,160.22492,0,0,7291.06,1,6978.34,40,-352.72,0,,,78,,,,,,,,96,,,,,,,,85,,,,,,,,137,,,,,,,,237,,,,,,,,213,,,,,,1.06615,11006.03263,107,7345.08838,7336.57,,38,,,,54.19,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.79,0.79,0,0.39,0.39,0,3.38,3.38,0,0.38,0.38,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0
D,DREGION,,2,"2024/06/14 04:10:00",1,QLD1,0,150.55,0,150.55,0,0,5806.29,18,6221.48,13,402.19,0,,,41,,,,,,,,99,,,,,,,,75,,,,,,,,45,,,,,,,,98,,,,,,,,124,,,,,,2.76832,9242.13465,124,5790.3623,5822.83,,0,,,,2.87,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.79,0.79,0,0.39,0.39,0,3.38,3.38,0,0.38,0.38,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0
D,DREGION,,2,"2024/06/14 04:10:00",1,SA1,0,143.45969,0,143.45969,0,0,1424.49,2,2018.14,262,331.64,0,,,66.51,,,,,,,,64.23,,,,,,,,40,,,,,,,,132.34,,,,,,,,149,,,,,,,,179,,,,,,0,4076.13627,370,1684.57544,1691.41,,96,,,,30,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.79,0.79,0,0.39,0.39,0,3.38,3.38,0,0.38,0.38,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0
D,DREGION,,2,"2024/06/14 04:10:00",1,TAS1,0,150.12,0,150.12,0,0,1136.5,2,1055.56,0,-80.94,0,,,60,,,,,,,,130,,,,,,,,90.26,,,,,,,,0,,,,,,,,6,,,,,,,,7,,,,,,3.4244,1977.40045,0,1131.07288,1136.5,,50,,,,50,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.79,0.79,0,0,0,0,4.53,4.53,0,0.38,0.38,0,0.39,0.39,0,0.39,0.39,0,2.53,2.53,0
D,DREGION,,2,"2024/06/14 04:10:00",1,VIC1,0,158.19826,0,158.19826,0,0,4729.25,6,4680.7,228,-276.55,0,,,24,,,,,,,,24,,,,,,,,24,,,,,,,,140,,,,,,,,115.05,,,,,,,,82.05,,,,,,9.13335,8592.70279,414,4959.53467,4966.92,,29,,,,102,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.79,0.79,0,0.39,0.39,0,3.38,3.38,0,0.38,0.38,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0
