C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2024/06/19,04:05:01,0000000423522453,,0000000423522447
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2024/06/18 04:05:00",1,NSW1,0,156.50191,0,156.50191,0,0,7348.43,2,6692.1,56,-712.33,0,,,43,,,,,,,,47,,,,,,,,28,,,,,,,,101,,,,,,,,61,,,,,,,,107.49,,,,,,-1.86213,10203.52404,107,7419.74414,7437.44,,57,,,,13.04,,,,,,,,,,,,,,,,,,,3.96,3.96,0,0.39,0.39,0,0.38,0.38,0,7.73,7.73,0,0.39,0.39,0,0.86,0.86,0,1.7,1.7,0,3.76,3.76,0
D,DREGION,,2,"2024/06/18 04:05:00",1,QLD1,0,136.01,0,136.01,0,0,5792.64,10,6680.08,7,880.44,0,,,65.56,,,,,,,,67.56,,,,,,,,69.33,,,,,,,,61,,,,,,,,132.88,,,,,,,,168.88,,,,,,0.05625,10145.91324,124,5810.97852,5820.52,,2,,,,45.96,,,,,,,,,,,,,,,,,,,3.96,3.96,0,0.39,0.39,0,0.38,0.38,0,7.73,7.73,0,0.39,0.39,0,0.86,0.86,0,1.7,1.7,0,3.76,3.76,0
D,DREGION,,2,"2024/06/18 04:05:00",1,SA1,0,210.44,0,210.44,0,0,1348.87,-3,1337.65,82,-93.22,0,,,109,,,,,,,,106,,,,,,,,119,,,,,,,,105,,,,,,,,108,,,,,,,,165,,,,,,-1.83645,2935.3485,345,1469.31177,1431.04,,40,,,,45,,,,,,,,,,,,,,,,,,,3.96,3.96,0,0.39,0.39,0,0.38,0.38,0,7.73,7.73,0,0.39,0.39,0,0.86,0.86,0,1.7,1.7,0,3.76,3.76,0
D,DREGION,,2,"2024/06/18 04:05:00",1,TAS1,0,224.3,0,224.3,0,0,1221.29,2,805.29,0,-416,0,,,12.82,,,,,,,,66.78,,,,,,,,66.78,,,,,,,,42.29,,,,,,,,153.98,,,,,,,,66.03,,,,,,1.20938,2150.8,0,1218.08154,1221.29,,50,,,,50,,,,,,,,,,,,,,,,,,,7.32,7.32,0,0.39,0.39,0,0.38,0.38,0,5.74,5.74,0,0.38,0.38,0,0.38,0.38,0,1.7,1.7,0,3.04,3.04,0
D,DREGION,,2,"2024/06/18 04:05:00",1,VIC1,0,205.79188,0,205.79188,0,0,4889.35,6,5367.87,72,406.52,0,,,43,,,,,,,,127.16,,,,,,,,33,,,,,,,,142,,,,,,,,146.54,,,,,,,,95,,,,,,0.94087,8818.00216,407,5038.66895,4972.69,,61,,,,66,,,,,,,,,,,,,,,,,,,3.96,3.96,0,0.39,0.39,0,0.38,0.38,0,7.73,7.73,0,0.39,0.39,0,0.86,0.86,0,1.7,1.7,0,3.76,3.76,0
D,DREGION,,2,"2024/06/18 04:10:00",1,NSW1,0,235.26101,0,235.26101,0,0,7605.16,21,6806.45,35,-833.71,0,,,14,,,,,,,,72,,,,,,,,61,,,,,,,,134.05,,,,,,,,118,,,,,,,,150.52,,,,,,0,10189.01093,107,7666.0293,7671.85,,43,,,,15.02,,,,,,,,,,,,,,,,,,,1.84,1.84,0,0.38,0.38,0,0.3,0.3,0,11.68,11.68,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/18 04:10:00",1,QLD1,0,205.0988,0,205.0988,0,0,5823.75,18,6739.52,49,866.77,0,,,41,,,,,,,,67.56,,,,,,,,60.54,,,,,,,,61,,,,,,,,99,,,,,,,,104,,,,,,1.77074,10149.82914,124,5833.82666,5892.1,,1,,,,68.98,,,,,,,,,,,,,,,,,,,1.84,1.84,0,0.38,0.38,0,0.3,0.3,0,11.68,11.68,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/18 04:10:00",1,SA1,0,229.99,0,229.99,0,0,1384.17,-2,1412.52,82,-53.65,0,,,52,,,,,,,,112,,,,,,,,70.62,,,,,,,,107,,,,,,,,123,,,,,,,,165,,,,,,0,2941.43906,345,1458.48572,1466,,31,,,,55,,,,,,,,,,,,,,,,,,,1.84,1.84,0,0.38,0.38,0,0.3,0.3,0,11.68,11.68,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/18 04:10:00",1,TAS1,0,240.09952,0,240.09952,0,0,1220.64,2,876.3,0,-344.34,0,,,60,,,,,,,,130.55,,,,,,,,101.76,,,,,,,,6,,,,,,,,101.44,,,,,,,,27,,,,,,0.42611,2151.8,0,1218.21777,1220.64,,50,,,,50,,,,,,,,,,,,,,,,,,,1.84,1.84,0,0.38,0.38,0,0.3,0.3,0,20.73952,20.73952,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,3.04,3.04,0
D,DREGION,,2,"2024/06/18 04:10:00",1,VIC1,0,227.19193,0,227.19193,0,0,4945.71,9,5389.96,21,423.26,0,,,106.97,,,,,,,,32.25,,,,,,,,21,,,,,,,,142,,,,,,,,159,,,,,,,,153.92,,,,,,0.7249,8798.96386,407,4952.11475,4974.16,,85,,,,31,,,,,,,,,,,,,,,,,,,1.84,1.84,0,0.38,0.38,0,0.3,0.3,0,11.68,11.68,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0
