C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2024/06/28,04:05:03,0000000424469662,,0000000424469656
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2024/06/27 04:05:00",1,NSW1,0,104.31634,0,104.31634,0,0,7330.86,4,7090.23,383,-623.63,0,,,52,,,,,,,,167.83,,,,,,,,129,,,,,,,,113.03,,,,,,,,129,,,,,,,,103,,,,,,18.2395,12046.64519,450,7718.3833,7727.87,,30.17,,,,45,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.26,0.26,0,0.3,0.3,0,7.99,7.99,0,0.2,0.2,0,0.38,0.38,0,0.39,0.39,0,1.5,1.5,0
D,DREGION,,2,"2024/06/27 04:05:00",1,QLD1,0,100.9,0,100.9,0,0,5487.59,8,5724.9,0,237.31,0,,,39,,,,,,,,129.7,,,,,,,,96.93,,,,,,,,57,,,,,,,,126,,,,,,,,128,,,,,,3.93301,8195.09103,75,5477.99707,5488.5,,0,,,,41,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.26,0.26,0,0.3,0.3,0,7.99,7.99,0,0.2,0.2,0,0.38,0.38,0,0.39,0.39,0,1.5,1.5,0
D,DREGION,,2,"2024/06/27 04:05:00",1,SA1,0,107.68457,0,107.68457,0,0,1341.15,-3,1006.37,130,-464.77,0,,,135.06,,,,,,,,76,,,,,,,,68,,,,,,,,95,,,,,,,,102,,,,,,,,115.46,,,,,,-12.45615,2913.37498,395,1441.23584,1481.4,,53.66,,,,50,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.26,0.26,0,0.3,0.3,0,7.99,7.99,0,0.2,0.2,0,0.38,0.38,0,0.39,0.39,0,1.5,1.5,0
D,DREGION,,2,"2024/06/27 04:05:00",1,TAS1,0,103.26,0,103.26,0,0,1159.75,1,705.14,0,-454.61,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,6,,,,,,,,86.71,,,,,,,,130.04,,,,,,0.59124,2154.59547,0,1158.15735,1159.75,,50,,,,50,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.38,0.38,0,0.3,0.3,0,10.32,10.32,0,0.2,0.2,0,0.38,0.38,0,0,0,0,3.4,3.4,0
D,DREGION,,2,"2024/06/27 04:05:00",1,VIC1,0,94.28091,0,94.28091,0,0,4540.49,5,6003.49,81,1382,0,,,48,,,,,,,,43,,,,,,,,26.13,,,,,,,,180,,,,,,,,159.79,,,,,,,,127,,,,,,13.30113,9628.8939,404,4691.13232,4672.61,,98,,,,34,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.26,0.26,0,0.3,0.3,0,7.99,7.99,0,0.2,0.2,0,0.38,0.38,0,0.39,0.39,0,1.5,1.5,0
D,DREGION,,2,"2024/06/27 04:10:00",1,NSW1,0,104.96,0,104.96,0,0,7349.83,4,7188.7,383,-544.13,0,,,28,,,,,,,,146,,,,,,,,125,,,,,,,,102,,,,,,,,130,,,,,,,,103,,,,,,25.17957,12047.77568,446,7717.43945,7744.21,,37.19,,,,54.04,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.26,0.26,0,0.26,0.26,0,11.68,11.68,0,0.38,0.38,0,0.38,0.38,0,0.39,0.39,0,1.5,1.5,0
D,DREGION,,2,"2024/06/27 04:10:00",1,QLD1,0,102.52621,0,102.52621,0,0,5551.31,12,5730.39,0,179.08,0,,,39,,,,,,,,129.7,,,,,,,,96.93,,,,,,,,57,,,,,,,,126,,,,,,,,127,,,,,,-1.04552,8232.38282,75,5540.65625,5551.54,,0,,,,45.96,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.26,0.26,0,0.26,0.26,0,11.68,11.68,0,0.38,0.38,0,0.38,0.38,0,0.39,0.39,0,1.5,1.5,0
D,DREGION,,2,"2024/06/27 04:10:00",1,SA1,0,109.98278,0,109.98278,0,0,1349.88,0,1002.51,126,-473.37,0,,,124,,,,,,,,64,,,,,,,,56,,,,,,,,96,,,,,,,,103,,,,,,,,98.2,,,,,,-16.8726,2909.5073,395,1489.22083,1486.52,,35.81,,,,45,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.26,0.26,0,0.26,0.26,0,11.68,11.68,0,0.38,0.38,0,0.38,0.38,0,0.39,0.39,0,1.5,1.5,0
D,DREGION,,2,"2024/06/27 04:10:00",1,TAS1,0,103.18007,0,103.18007,0,0,1149.02,2,719.18,0,-429.83,0,,,2.95,,,,,,,,52.68,,,,,,,,17.54,,,,,,,,6,,,,,,,,61.49,,,,,,,,123.36,,,,,,-2.00243,2172.98303,0,1149.01917,1149.02,,50,,,,50,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.38,0.38,0,0.26,0.26,0,10.32,10.32,0,0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,3.4,3.4,0
D,DREGION,,2,"2024/06/27 04:10:00",1,VIC1,0,95.8249,0,95.8249,0,0,4559.37,1,5968.14,70,1338.77,0,,,79.28,,,,,,,,23,,,,,,,,23,,,,,,,,175.4,,,,,,,,168.07,,,,,,,,137,,,,,,17.23808,9594.2612,403,4665.98535,4677.63,,87,,,,25,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.26,0.26,0,0.26,0.26,0,11.68,11.68,0,0.38,0.38,0,0.38,0.38,0,0.39,0.39,0,1.5,1.5,0
