C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2024/06/06,04:05:03,0000000422070115,,0000000422070109
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2024/06/05 04:05:00",1,NSW1,0,112.81827,0,112.81827,0,0,7067.74,0,7207.49,50,89.75,0,,,45,,,,,,,,43,,,,,,,,41,,,,,,,,103,,,,,,,,62,,,,,,,,151.39,,,,,,26.45461,11516.32177,82,7113.63916,7118.1,,31,,,,36,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.39,0.39,0,0.38,0.38,0,5,5,0,0.38,0.38,0,0.39,0.39,0,0.38,0.38,0,1,1,0
D,DREGION,,2,"2024/06/05 04:05:00",1,QLD1,0,110.64203,0,110.64203,0,0,5726.05,10,5908.69,9,173.64,0,,,40,,,,,,,,66,,,,,,,,59,,,,,,,,60,,,,,,,,139,,,,,,,,174.96,,,,,,-4.34157,9400.22036,124,5781.87549,5735.32,,0,,,,24,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.39,0.39,0,0.38,0.38,0,5,5,0,0.38,0.38,0,0.39,0.39,0,0.38,0.38,0,1,1,0
D,DREGION,,2,"2024/06/05 04:05:00",1,SA1,0,175.05,0,175.05,0,0,1406.18,-2,867.16,138.75,-677.76,0,,,42,,,,,,,,96.3,,,,,,,,47,,,,,,,,106,,,,,,,,104,,,,,,,,180,,,,,,-7.49999,2757.15928,347,1581.93774,1567.7,,51,,,,93,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.39,0.39,0,0.38,0.38,0,5,5,0,0.38,0.38,0,0.39,0.39,0,0.38,0.38,0,1,1,0
D,DREGION,,2,"2024/06/05 04:05:00",1,TAS1,0,150.07,0,150.07,0,0,1020.39,1,734.39,0,-286,0,,,54.23,,,,,,,,129.5,,,,,,,,93.9,,,,,,,,88.79,,,,,,,,186.08,,,,,,,,27,,,,,,-1.90704,2105.44818,0,1021.29785,1020.39,,50,,,,50,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.39,0.39,0,0.38,0.38,0,6.14,6.14,0,0.38,0.38,0,0.39,0.39,0,0.38,0.38,0,5.23,5.23,0
D,DREGION,,2,"2024/06/05 04:05:00",1,VIC1,0,143.65785,0,143.65785,0,0,4498.58,2,5274.38,0,775.8,0,,,85,,,,,,,,75,,,,,,,,74,,,,,,,,126,,,,,,,,146.28,,,,,,,,104,,,,,,-2.25435,8390.40427,277,4550.42627,4550.6,,78,,,,17,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.39,0.39,0,0.38,0.38,0,5,5,0,0.38,0.38,0,0.39,0.39,0,0.38,0.38,0,1,1,0
D,DREGION,,2,"2024/06/05 04:10:00",1,NSW1,0,147.43086,0,147.43086,0,0,7157.61,10,7272.9,50,65.28,0,,,89,,,,,,,,127,,,,,,,,115,,,,,,,,136,,,,,,,,112,,,,,,,,175.07,,,,,,12.86425,11500.2085,82,7182.60645,7206.69,,15,,,,36,,,,,,,,,,,,,,,,,,,1.84,1.84,0,0.38,0.38,0,0.38,0.38,0,3.38,3.38,0,0.38,0.38,0,0.39,0.39,0,0.38,0.38,0,3.61,3.61,0
D,DREGION,,2,"2024/06/05 04:10:00",1,QLD1,0,145.63,0,145.63,0,0,5783.22,13,5923,5.81,133.97,0,,,40,,,,,,,,57,,,,,,,,42,,,,,,,,60,,,,,,,,138,,,,,,,,141,,,,,,0,9389.72664,124,5777.83398,5789,,0,,,,16,,,,,,,,,,,,,,,,,,,1.84,1.84,0,0.38,0.38,0,0.38,0.38,0,3.38,3.38,0,0.38,0.38,0,0.39,0.39,0,0.38,0.38,0,3.61,3.61,0
D,DREGION,,2,"2024/06/05 04:10:00",1,SA1,0,175.68851,0,175.68851,0,0,1370.35,-4,869.65,75,-575.7,0,,,63,,,,,,,,80,,,,,,,,74,,,,,,,,108,,,,,,,,119,,,,,,,,164,,,,,,0,2760.64768,342,1512.89844,1461.46,,32,,,,95,,,,,,,,,,,,,,,,,,,1.84,1.84,0,0.38,0.38,0,0.38,0.38,0,3.38,3.38,0,0.38,0.38,0,0.39,0.39,0,0.38,0.38,0,3.61,3.61,0
D,DREGION,,2,"2024/06/05 04:10:00",1,TAS1,0,155.50517,0,155.50517,0,0,1024.59,2,738.09,0,-286.5,0,,,51.32,,,,,,,,129.5,,,,,,,,70.39,,,,,,,,39.81,,,,,,,,148.13,,,,,,,,27,,,,,,-2.34904,2097.19061,0,1024.93506,1024.59,,50,,,,50,,,,,,,,,,,,,,,,,,,1.84,1.84,0,0.38,0.38,0,0.38,0.38,0,6.14,6.14,0,0.38,0.38,0,0.39,0.39,0,0.38,0.38,0,5.23,5.23,0
D,DREGION,,2,"2024/06/05 04:10:00",1,VIC1,0,148.6391,0,148.6391,0,0,4562.31,4,5277.64,0,715.33,0,,,24,,,,,,,,17.14,,,,,,,,14,,,,,,,,137,,,,,,,,117,,,,,,,,127.06,,,,,,0,8377.63902,275,4597.89307,4599.53,,113,,,,23,,,,,,,,,,,,,,,,,,,1.84,1.84,0,0.38,0.38,0,0.38,0.38,0,3.38,3.38,0,0.38,0.38,0,0.39,0.39,0,0.38,0.38,0,3.61,3.61,0
