C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2024/06/27,04:05:00,0000000424366374,,0000000424366368
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2024/06/26 04:05:00",1,NSW1,0,47.98,0,47.98,0,0,7404.7,8,6698.34,432.25,-1138.61,0,,,84,,,,,,,,182.21,,,,,,,,133,,,,,,,,64,,,,,,,,92,,,,,,,,22.46,,,,,,8.27391,12832.16817,481,7911.62646,7920.79,,27.89,,,,35,,,,,,,,,,,,,,,,,,,0.1,0.1,0,0.26,0.26,0,0.26,0.26,0,0.26,0.26,0,0.39,0.39,0,0.45,0.45,0,0.62,0.62,0,3.61,3.61,0
D,DREGION,,2,"2024/06/26 04:05:00",1,QLD1,0,49.44379,0,49.44379,0,0,5568.61,9,5490.22,0,-78.38,0,,,50.82,,,,,,,,71.7,,,,,,,,62.93,,,,,,,,53,,,,,,,,123,,,,,,,,123,,,,,,-7.51259,9051.35388,75,5568.4126,5569.13,,0,,,,0,,,,,,,,,,,,,,,,,,,0.1,0.1,0,0.26,0.26,0,0.26,0.26,0,0.26,0.26,0,0.39,0.39,0,0.45,0.45,0,0.62,0.62,0,3.61,3.61,0
D,DREGION,,2,"2024/06/26 04:05:00",1,SA1,0,0.02057,0,0.02057,0,0,1541.35,-3,1697.17,52,103.82,0,,,86,,,,,,,,75,,,,,,,,48.37,,,,,,,,102,,,,,,,,102,,,,,,,,94,,,,,,-2.78909,3279.16614,120,1611.82434,1604.35,,31,,,,56,,,,,,,,,,,,,,,,,,,0.1,0.1,0,0.26,0.26,0,0.26,0.26,0,0.26,0.26,0,0.39,0.39,0,0.45,0.45,0,0.62,0.62,0,3.61,3.61,0
D,DREGION,,2,"2024/06/26 04:05:00",1,TAS1,0,5.61166,0,5.61166,0,0,1129.86,2,659.37,0,-470.49,0,,,0,,,,,,,,12.28,,,,,,,,12.28,,,,,,,,6.88,,,,,,,,106.87,,,,,,,,106.87,,,,,,0.26439,2128.17072,0,1127.60059,1129.86,,50,,,,50,,,,,,,,,,,,,,,,,,,0.38,0.38,0,1.75,1.75,0,0.38,0.38,0,8.62,8.62,0,0.38,0.38,0,0.38,0.38,0,0,0,0,52.11834,52.11834,0
D,DREGION,,2,"2024/06/26 04:05:00",1,VIC1,0,0.02,0,0.02,0,0,4294.37,-1,6108.46,0,1814.09,0,,,55,,,,,,,,77,,,,,,,,65,,,,,,,,166.69,,,,,,,,133.07,,,,,,,,114,,,,,,1.12807,10474.51145,320,4441.08789,4429.43,,138.82,,,,91,,,,,,,,,,,,,,,,,,,0.1,0.1,0,0.26,0.26,0,0.26,0.26,0,0.26,0.26,0,0.39,0.39,0,0.45,0.45,0,0.62,0.62,0,3.61,3.61,0
D,DREGION,,2,"2024/06/26 04:10:00",1,NSW1,0,54.00036,0,54.00036,0,0,7406.39,9,6724.76,408,-1089.64,0,,,10,,,,,,,,184.74,,,,,,,,107,,,,,,,,74,,,,,,,,88.25,,,,,,,,14.09,,,,,,0,12838.63761,443,7908.39307,7898.47,,64.59,,,,87,,,,,,,,,,,,,,,,,,,0.1,0.1,0,0.15,0.15,0,0.26,0.26,0,2,2,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,1,1,0
D,DREGION,,2,"2024/06/26 04:10:00",1,QLD1,0,55.99661,0,55.99661,0,0,5577.87,9,5452.1,0,-125.77,0,,,38,,,,,,,,71.7,,,,,,,,62.93,,,,,,,,53,,,,,,,,123,,,,,,,,123,,,,,,7.37959,8802.25977,75,5562.125,5578.98,,0,,,,0,,,,,,,,,,,,,,,,,,,0.1,0.1,0,0.15,0.15,0,0.26,0.26,0,2,2,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,1,1,0
D,DREGION,,2,"2024/06/26 04:10:00",1,SA1,0,9.34913,0,9.34913,0,0,1568.02,1,1683.34,38,77.32,0,,,34,,,,,,,,80,,,,,,,,92,,,,,,,,104,,,,,,,,104,,,,,,,,97,,,,,,0,3265.34288,122,1622.35046,1617.21,,64,,,,36,,,,,,,,,,,,,,,,,,,0.1,0.1,0,0.15,0.15,0,0.26,0.26,0,2,2,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,1,1,0
D,DREGION,,2,"2024/06/26 04:10:00",1,TAS1,0,54.28,0,54.28,0,0,1134.37,2,658,0,-476.37,0,,,0,,,,,,,,6.41,,,,,,,,6.41,,,,,,,,9.14,,,,,,,,109.13,,,,,,,,109.13,,,,,,-0.32521,2105.97929,0,1132.69165,1134.37,,50,,,,50,,,,,,,,,,,,,,,,,,,0.38,0.38,0,1.75,1.75,0,0.38,0.38,0,8.62,8.62,0,0.38,0.38,0,0.38,0.38,0,0,0,0,3.45,3.45,0
D,DREGION,,2,"2024/06/26 04:10:00",1,VIC1,0,9,0,9,0,0,4361.16,0,6279.08,72,1845.92,0,,,195.72,,,,,,,,77,,,,,,,,54.57,,,,,,,,151.11,,,,,,,,119,,,,,,,,114,,,,,,10.74912,10457.7069,326,4479.67969,4568.25,,75,,,,47,,,,,,,,,,,,,,,,,,,0.1,0.1,0,0.15,0.15,0,0.26,0.26,0,2,2,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,1,1,0
