C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2024/06/11,04:05:03,0000000422614152,,0000000422614146
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2024/06/10 04:05:00",1,NSW1,0,76.72008,0,76.72008,0,0,6902.61,10,6947.31,154,-109.3,0,,,37,,,,,,,,155,,,,,,,,112,,,,,,,,121,,,,,,,,72,,,,,,,,138.59,,,,,,18.40065,11699.98202,230,7022.25732,7060.36,,66,,,,53,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.39,0.39,0,0.39,0.39,0,11,11,0,0.2,0.2,0,0.39,0.39,0,0.39,0.39,0,1,1,0
D,DREGION,,2,"2024/06/10 04:05:00",1,QLD1,0,72.11421,0,72.11421,0,0,5582.47,14,5958.1,8,367.63,0,,,44,,,,,,,,65,,,,,,,,60,,,,,,,,55,,,,,,,,134,,,,,,,,177,,,,,,-0.41705,9818.80453,124,5586.56836,5594.02,,0,,,,44,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.39,0.39,0,0.39,0.39,0,11,11,0,0.2,0.2,0,0.39,0.39,0,0.39,0.39,0,1,1,0
D,DREGION,,2,"2024/06/10 04:05:00",1,SA1,0,138.26065,0,138.26065,0,0,1266.31,-1,1210.04,4,-60.28,0,,,89.46,,,,,,,,85,,,,,,,,79,,,,,,,,86,,,,,,,,181,,,,,,,,173,,,,,,11.53685,2824.03799,376,1270.52698,1270.34,,22,,,,59,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.39,0.39,0,0.39,0.39,0,11,11,0,0.2,0.2,0,0.39,0.39,0,0.39,0.39,0,1,1,0
D,DREGION,,2,"2024/06/10 04:05:00",1,TAS1,0,141.2824,0,141.2824,0,0,1157.97,-1,932.2,0,-225.77,0,,,3,,,,,,,,3,,,,,,,,0,,,,,,,,97.95,,,,,,,,156,,,,,,,,27,,,,,,-4.04678,2346.04941,0,1163.01648,1157.97,,50,,,,50,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.39,0.39,0,0.39,0.39,0,6.2,6.2,0,0.2,0.2,0,0.39,0.39,0,0.39,0.39,0,2.6,2.6,0
D,DREGION,,2,"2024/06/10 04:05:00",1,VIC1,0,136.78,0,136.78,0,0,4389.75,3,4452.46,27.85,34.87,0,,,95,,,,,,,,106.19,,,,,,,,71.38,,,,,,,,147.19,,,,,,,,119.87,,,,,,,,147.29,,,,,,-2.56774,8504.46393,391,4436.45801,4417.43,,72,,,,14,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.39,0.39,0,0.39,0.39,0,11,11,0,0.2,0.2,0,0.39,0.39,0,0.39,0.39,0,1,1,0
D,DREGION,,2,"2024/06/10 04:10:00",1,NSW1,0,86.9,0,86.9,0,0,6878.95,12,7048.25,192,-22.7,0,,,16,,,,,,,,118.49,,,,,,,,62,,,,,,,,121,,,,,,,,99,,,,,,,,165.51,,,,,,-0.6652,11714.45988,230,7030.83447,7072.66,,57,,,,43.58,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.39,0.39,0,0.39,0.39,0,11.68,11.68,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,3.75,3.75,0
D,DREGION,,2,"2024/06/10 04:10:00",1,QLD1,0,82.81824,0,82.81824,0,0,5639.88,15,5951.16,9,302.28,0,,,60,,,,,,,,81,,,,,,,,60,,,,,,,,56,,,,,,,,134,,,,,,,,170.19,,,,,,1.80717,9811.76211,124,5633.47656,5651.04,,0,,,,49.42,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.39,0.39,0,0.39,0.39,0,11.68,11.68,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,3.75,3.75,0
D,DREGION,,2,"2024/06/10 04:10:00",1,SA1,0,110.03,0,110.03,0,0,1309.28,4,1211.52,22.62,-120.37,0,,,92.83,,,,,,,,117,,,,,,,,111.11,,,,,,,,90,,,,,,,,182.77,,,,,,,,177,,,,,,10.26647,2829.52145,376,1303.22266,1332.31,,20,,,,63,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.39,0.39,0,0.39,0.39,0,11.68,11.68,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,3.75,3.75,0
D,DREGION,,2,"2024/06/10 04:10:00",1,TAS1,0,109.32125,0,109.32125,0,0,1145.08,-1,939.14,0,-205.94,0,,,3,,,,,,,,3,,,,,,,,3.48,,,,,,,,105.37,,,,,,,,155.94,,,,,,,,27,,,,,,-4.64898,2360.50409,0,1150.73132,1145.08,,50,,,,50,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.38,0.38,0,0.39,0.39,0,6.2,6.2,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,2.6,2.6,0
D,DREGION,,2,"2024/06/10 04:10:00",1,VIC1,0,106.39405,0,106.39405,0,0,4337.64,5,4388.97,0,51.34,0,,,96,,,,,,,,94,,,,,,,,85,,,,,,,,131.68,,,,,,,,88,,,,,,,,120,,,,,,-2.4861,8505.97414,391,4372.10107,4337.94,,83,,,,14,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.39,0.39,0,0.39,0.39,0,11.68,11.68,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,3.75,3.75,0
