C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2/6/2024,4:05:01,0000000421635450,,0000000421635444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:15,1,NSW1,0,96.40007,0,96.40007,0,0,6706.62,3,6672.21,45,-79.41,0,,,45,,,,,,,,157.38,,,,,,,,91,,,,,,,,133,,,,,,,,82,,,,,,,,180.07,,,,,,-9.96302,10964.72763,109,6745.37451,6754.77,,50,,,,14.07,,,,,,,,,,,,,,,,,,,2.96,2.96,0,0.39,0.39,0,0.39,0.39,0,20.68,20.68,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,3.76,3.76,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:15,1,QLD1,0,91.41496,0,91.41496,0,0,5491.33,0,5857.74,60,306.42,0,,,0,,,,,,,,28,,,,,,,,28,,,,,,,,65,,,,,,,,144,,,,,,,,158,,,,,,2.97474,9152.8779,124,5505.19824,5554.06,,5,,,,82.93,,,,,,,,,,,,,,,,,,,2.96,2.96,0,0.39,0.39,0,0.39,0.39,0,20.68,20.68,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,3.76,3.76,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:15,1,SA1,0,175.05,0,175.05,0,0,1364.19,3,682.82,14.45,-695.83,0,,,107.77,,,,,,,,135,,,,,,,,112.26,,,,,,,,82.35,,,,,,,,170,,,,,,,,181,,,,,,-3.3384,2273.8203,376,1388.77954,1403.32,,24.86,,,,48,,,,,,,,,,,,,,,,,,,2.96,2.96,0,0.39,0.39,0,0.39,0.39,0,20.68,20.68,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,3.76,3.76,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:15,1,TAS1,0,156.02329,0,156.02329,0,0,1066.09,1,642.85,0,-423.24,0,,,0,,,,,,,,0,,,,,,,,1,,,,,,,,106,,,,,,,,180,,,,,,,,81.9,,,,,,-3.4794,2040.03921,0,1068.57434,1066.09,,50,,,,50,,,,,,,,,,,,,,,,,,,7.32,7.32,0,0.39,0.39,0,0.39,0.39,0,7.36,7.36,0,0.39,0.39,0,0.45,0.45,0,0,0,0,9.33671,9.33671,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:15,1,VIC1,0,137.87372,0,137.87372,0,0,4218.62,3,5203.57,0,984.95,0,,,116,,,,,,,,96,,,,,,,,95,,,,,,,,127,,,,,,,,94.97,,,,,,,,70,,,,,,-0.19355,8654.8649,414,4278.34424,4280.96,,111,,,,25,,,,,,,,,,,,,,,,,,,2.96,2.96,0,0.39,0.39,0,0.39,0.39,0,20.68,20.68,0,0.39,0.39,0,0.45,0.45,0,0.39,0.39,0,3.76,3.76,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:20,1,NSW1,0,78.82,0,78.82,0,0,6654.38,3,6624.11,6.23,-36.5,0,,,45,,,,,,,,104,,,,,,,,91,,,,,,,,133,,,,,,,,82,,,,,,,,141.1,,,,,,3.89592,10967.60213,109,6695.60938,6662.74,,44.77,,,,36.23,,,,,,,,,,,,,,,,,,,1.84,1.84,0,0.39,0.39,0,0.39,0.39,0,7.84,7.84,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,3.7,3.7,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:20,1,QLD1,0,75.23209,0,75.23209,0,0,5474.51,-1,5787.92,45,268.41,0,,,0,,,,,,,,0,,,,,,,,28,,,,,,,,65,,,,,,,,144,,,,,,,,148,,,,,,-2.89774,9119.17753,124,5540.9751,5521.54,,5,,,,38.77,,,,,,,,,,,,,,,,,,,1.84,1.84,0,0.39,0.39,0,0.39,0.39,0,7.84,7.84,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,3.7,3.7,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:20,1,SA1,0,175.05,0,175.05,0,0,1370.44,2,639.06,3.24,-734.61,0,,,128.08,,,,,,,,96.74,,,,,,,,112.69,,,,,,,,80.94,,,,,,,,120.53,,,,,,,,158,,,,,,-0.97373,2277.06474,376,1408.60156,1401.06,,34.98,,,,57,,,,,,,,,,,,,,,,,,,1.84,1.84,0,0.39,0.39,0,0.39,0.39,0,7.84,7.84,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,3.7,3.7,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:20,1,TAS1,0,160.11,0,160.11,0,0,1064.84,1,662.71,0,-402.13,0,,,0,,,,,,,,0,,,,,,,,1,,,,,,,,106,,,,,,,,168.07,,,,,,,,62.66,,,,,,-3.27301,2042.67679,0,1067.11011,1064.84,,50,,,,50,,,,,,,,,,,,,,,,,,,7.32,7.32,0,0.39,0.39,0,0.39,0.39,0,7.36,7.36,0,0.39,0.39,0,0.39,0.39,0,0,0,0,5.26,5.26,0,,,,,,,,,,
D,DREGION,,2,1/6/2024 4:20,1,VIC1,0,141.39513,0,141.39513,0,0,4187.92,-4,5226.09,35,1003.17,0,,,95,,,,,,,,215,,,,,,,,94,,,,,,,,126,,,,,,,,154,,,,,,,,158.83,,,,,,2.31894,8679.62477,414,4256.42285,4289.7,,85,,,,38,,,,,,,,,,,,,,,,,,,1.84,1.84,0,0.39,0.39,0,0.39,0.39,0,7.84,7.84,0,0.39,0.39,0,0.39,0.39,0,0.39,0.39,0,3.7,3.7,0,,,,,,,,,,
