C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2024/06/22,04:05:08,0000000423842986,,0000000423842980
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2024/06/21 04:05:00",1,NSW1,0,299.98,0,299.98,0,0,7478.48,0,6621.92,39,-895.56,0,,,49,,,,,,,,72,,,,,,,,61,,,,,,,,104,,,,,,,,100,,,,,,,,135,,,,,,5.16643,10939.82967,49,7545.37012,7547.76,,31,,,,80,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.86,0.86,0,0.38,0.38,0,12,12,0,0.38,0.38,0,0.39,0.39,0,0.62,0.62,0,3.61,3.61,0
D,DREGION,,2,"2024/06/21 04:05:00",1,QLD1,0,264.35843,0,264.35843,0,0,5773.44,11,6572.04,0,798.59,0,,,71.21,,,,,,,,129.7,,,,,,,,96.93,,,,,,,,65,,,,,,,,105,,,,,,,,118,,,,,,12.28063,9307.37905,124,5769.59619,5790.2,,1,,,,74,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.86,0.86,0,0.38,0.38,0,12,12,0,0.38,0.38,0,0.39,0.39,0,0.62,0.62,0,3.61,3.61,0
D,DREGION,,2,"2024/06/21 04:05:00",1,SA1,0,305.56153,0,305.56153,0,0,1357.75,-1,1161.69,52,-248.05,0,,,99,,,,,,,,109.03,,,,,,,,73,,,,,,,,69,,,,,,,,114,,,,,,,,150,,,,,,-4.42384,2761.47096,368,1366.05652,1412.34,,32,,,,14,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.86,0.86,0,0.38,0.38,0,12,12,0,0.38,0.38,0,0.39,0.39,0,0.62,0.62,0,3.61,3.61,0
D,DREGION,,2,"2024/06/21 04:05:00",1,TAS1,0,273.90425,0,273.90425,0,0,1230.45,2,1367.26,0,136.82,0,,,35.44,,,,,,,,85.43,,,,,,,,67.41,,,,,,,,84.58,,,,,,,,45.07,,,,,,,,45.07,,,,,,-0.57663,2209.06327,0,1229.72473,1231.83,,50,,,,50,,,,,,,,,,,,,,,,,,,7.32,7.32,0,1.75,1.75,0,0.38,0.38,0,7.56,7.56,0,0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,5.31,5.31,0
D,DREGION,,2,"2024/06/21 04:05:00",1,VIC1,0,284,0,284,0,0,4915.58,5,5187.18,0,271.59,0,,,21,,,,,,,,21,,,,,,,,21,,,,,,,,129,,,,,,,,239.03,,,,,,,,155.03,,,,,,-5.76333,9035.15885,399,4928.23828,4927.96,,96,,,,2,,,,,,,,,,,,,,,,,,,4.89,4.89,0,0.86,0.86,0,0.38,0.38,0,12,12,0,0.38,0.38,0,0.39,0.39,0,0.62,0.62,0,3.61,3.61,0
D,DREGION,,2,"2024/06/21 04:10:00",1,NSW1,0,299.98,0,299.98,0,0,7506.12,4,6608.92,0,-897.2,0,,,57,,,,,,,,95,,,,,,,,83.27,,,,,,,,134,,,,,,,,155.06,,,,,,,,167,,,,,,3.43425,10934.64672,48,7568.2915,7536.39,,42,,,,79,,,,,,,,,,,,,,,,,,,2.95,2.95,0,0.72,0.72,0,0.38,0.38,0,12,12,0,0.34,0.34,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/21 04:10:00",1,QLD1,0,264.39174,0,264.39174,0,0,5754.46,12,6554.72,0,800.26,0,,,53.8,,,,,,,,129.7,,,,,,,,96.93,,,,,,,,65,,,,,,,,106,,,,,,,,115,,,,,,0.52843,9290.69203,124,5758.92871,5771.25,,1,,,,75,,,,,,,,,,,,,,,,,,,2.95,2.95,0,0.72,0.72,0,0.38,0.38,0,12,12,0,0.34,0.34,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/21 04:10:00",1,SA1,0,305.54936,0,305.54936,0,0,1331.94,-2,1137.01,52,-246.93,0,,,102,,,,,,,,82,,,,,,,,76,,,,,,,,70,,,,,,,,129,,,,,,,,152.06,,,,,,-10.49889,2756.00652,368,1397.53748,1386.51,,55,,,,14,,,,,,,,,,,,,,,,,,,2.95,2.95,0,0.72,0.72,0,0.38,0.38,0,12,12,0,0.34,0.34,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/21 04:10:00",1,TAS1,0,281.4513,0,281.4513,0,0,1248.15,2,1345.51,0,97.37,0,,,0,,,,,,,,46.76,,,,,,,,0,,,,,,,,50.65,,,,,,,,83.98,,,,,,,,83.98,,,,,,5.94637,2211.21082,0,1241.33887,1248.74,,50,,,,50,,,,,,,,,,,,,,,,,,,7.32,7.32,0,1.75,1.75,0,0.38,0.38,0,7.56,7.56,0,0.34,0.34,0,0.38,0.38,0,0,0,0,5.31,5.31,0
D,DREGION,,2,"2024/06/21 04:10:00",1,VIC1,0,284,0,284,0,0,4917.93,7,5225.94,0,308.01,0,,,63,,,,,,,,63.73,,,,,,,,63,,,,,,,,131,,,,,,,,128,,,,,,,,84,,,,,,3.00629,9048.46438,398,4920.71045,4929.21,,65.23,,,,2,,,,,,,,,,,,,,,,,,,2.95,2.95,0,0.72,0.72,0,0.38,0.38,0,12,12,0,0.34,0.34,0,0.39,0.39,0,0.39,0.39,0,3.61,3.61,0
D,DREGION,,2,"2024/06/21 04:15:00",1,NSW1,0,299.98,0,299.98,0,0,7475.05,7,6685.88,0,-789.17,0,,,39.72,,,,,,,,67,,,,,,,,56,,,,,,,,137,,,,,,,,86,,,,,,,,140,,,,,,0.49141,10929.96673,48,7491.94531,7496.62,,53.97,,,,79,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.39,0.39,0,0.38,0.38,0,12,12,0,0.38,0.38,0,0.39,0.39,0,0.8,0.8,0,1.35,1.35,0
D,DREGION,,2,"2024/06/21 04:15:00",1,QLD1,0,269.9246,0,269.9246,0,0,5867.92,17,6546.1,0,678.18,0,,,69.7,,,,,,,,129.7,,,,,,,,96.93,,,,,,,,64,,,,,,,,103,,,,,,,,104,,,,,,0.82083,9282.47876,124,5862.34033,5879.37,,1,,,,76,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.39,0.39,0,0.38,0.38,0,12,12,0,0.38,0.38,0,0.39,0.39,0,0.8,0.8,0,1.35,1.35,0
D,DREGION,,2,"2024/06/21 04:15:00",1,SA1,0,305.54813,0,305.54813,0,0,1319.72,-3,1123.32,50,-246.4,0,,,105,,,,,,,,119.91,,,,,,,,79,,,,,,,,70,,,,,,,,174,,,,,,,,161,,,,,,-15.96389,2742.32397,368,1391.02429,1372.28,,55,,,,13,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.39,0.39,0,0.38,0.38,0,12,12,0,0.38,0.38,0,0.39,0.39,0,0.8,0.8,0,1.35,1.35,0
D,DREGION,,2,"2024/06/21 04:15:00",1,TAS1,0,281.60873,0,281.60873,0,0,1241.71,2,1341.38,0,99.67,0,,,0,,,,,,,,49.03,,,,,,,,35.46,,,,,,,,51.5,,,,,,,,80.26,,,,,,,,80.26,,,,,,0.72474,2207.07508,0,1239.79651,1242.34,,50,,,,50,,,,,,,,,,,,,,,,,,,7.32,7.32,0,1.75,1.75,0,0.38,0.38,0,7.56,7.56,0,0.38,0.38,0,0.38,0.38,0,0,0,0,5.31,5.31,0
D,DREGION,,2,"2024/06/21 04:15:00",1,VIC1,0,284,0,284,0,0,4937.48,7,5242.67,0,305.19,0,,,62,,,,,,,,52,,,,,,,,52,,,,,,,,130,,,,,,,,160.46,,,,,,,,118.46,,,,,,10.06814,9047.16673,398,4933.19727,4948.76,,51,,,,2,,,,,,,,,,,,,,,,,,,0.86,0.86,0,0.39,0.39,0,0.38,0.38,0,12,12,0,0.38,0.38,0,0.39,0.39,0,0.8,0.8,0,1.35,1.35,0
